SPID,SPName,SPRate,SPUnit
4001,Two Wheeler Tube,250,NOS
4002,Two Wheeler Engine Oil,400,LTRS
4003,Four Wheeler Engine Oil,5000,LTRS
4004,Two Wheeler Carborator,680,NOS
4005,Two Wheeler Clutch Wire,129,MTRS
4006,Two Wheeler Tail Light,100,NOS
4007,Two Wheeler Indicators,150,NOS
4008,Four Wheeler Gaskit,1340,NOS
4009,White Colour,340,LTRS
4010,Black Colour,240,LTRS
4011,Two Wheeler Side Mirror,250,NOS
4012,Four Wheeler Side Mirror,450,NOS
4013,Two Wheeler Shockup,1320,PAIR
4014,Four Wheeler Bumper,6000,NOS
4015,Four Wheeler Front Glass,7000,PCS
